angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
170,0.7287489771842957,0.578881561756134,172,0.7590786218643188,0.585465669631958,correto
169,0.7110509276390076,0.5779063701629639,174,0.7335812449455261,0.5854489803314209,correto
171,0.6877553462982178,0.5761713981628418,177,0.7137646079063416,0.5860869288444519,correto
173,0.6673879623413086,0.5743503570556641,169,0.694320023059845,0.5868375301361084,correto
175,0.6458868384361267,0.5725406408309937,166,0.6776226758956909,0.5868179798126221,correto
179,0.6382103562355042,0.5722603797912598,170,0.6738319396972656,0.5868024826049805,correto
179,0.6162678003311157,0.5718094110488892,171,0.6637471318244934,0.5851955413818359,correto
178,0.5990174412727356,0.5705301761627197,174,0.6527025699615479,0.5826066136360168,correto
173,0.582975447177887,0.5690782070159912,174,0.635202169418335,0.5795872211456299,correto
164,0.5682740211486816,0.5684590339660645,166,0.6101889610290527,0.5779584646224976,correto
160,0.5607455372810364,0.5674622654914856,166,0.6026872992515564,0.5769062638282776,correto
49,0.5581920742988586,0.5668700337409973,168,0.5885688066482544,0.5763224959373474,correto
5,0.5559447407722473,0.5659011006355286,170,0.5818179845809937,0.575822114944458,correto
24,0.5507063269615173,0.565437912940979,176,0.589512288570404,0.5753093361854553,correto
58,0.5484537482261658,0.5648982524871826,178,0.5901835560798645,0.5748133063316345,correto
160,0.5466117858886719,0.5643566250801086,179,0.5910956263542175,0.5743727684020996,correto
166,0.5454966425895691,0.5642160177230835,179,0.5930331349372864,0.5741114616394043,correto
166,0.5482691526412964,0.5638737678527832,178,0.5917641520500183,0.5739016532897949,correto
30,0.5507924556732178,0.5635150074958801,178,0.5941047668457031,0.5737855434417725,correto
147,0.5516619086265564,0.563454270362854,178,0.5956904888153076,0.5738253593444824,correto
177,0.551395833492279,0.5634629130363464,177,0.5952107310295105,0.573919415473938,correto
169,0.5529943108558655,0.563451886177063,171,0.5964799523353577,0.573839545249939,correto
171,0.5656245946884155,0.5635648369789124,163,0.5969111323356628,0.5738638043403625,correto
179,0.5820836424827576,0.5635713934898376,169,0.615159809589386,0.573913037776947,correto
174,0.6059107780456543,0.56365567445755,172,0.6324372887611389,0.5739955306053162,correto
172,0.6261244416236877,0.5648285150527954,175,0.652098536491394,0.5754559636116028,correto
174,0.6456656455993652,0.5653931498527527,171,0.6594455242156982,0.5770040154457092,correto
176,0.6581556797027588,0.5658577680587769,168,0.6632066965103149,0.578370213508606,correto
175,0.6719071269035339,0.5663881897926331,171,0.675180971622467,0.5798749923706055,correto
177,0.6929730176925659,0.5669243335723877,170,0.688994824886322,0.5814447402954102,correto
175,0.7144216299057007,0.5696896314620972,175,0.7087292075157166,0.5835019946098328,correto
172,0.7315320372581482,0.5740228295326233,176,0.730559766292572,0.5846210718154907,correto
169,0.7435045838356018,0.5770257711410522,171,0.7500156164169312,0.5849327445030212,correto
170,0.7525073289871216,0.5775826573371887,174,0.7600072026252747,0.585021436214447,correto
169,0.7653995156288147,0.5782704949378967,173,0.7758437991142273,0.5855128169059753,correto
166,0.7818923592567444,0.5796525478363037,171,0.7854678630828857,0.58558189868927,correto
167,0.7935905456542969,0.5795060992240906,169,0.7935702204704285,0.5862821936607361,correto
164,0.7994097471237183,0.5792844295501709,164,0.808424711227417,0.5873541235923767,correto
164,0.802366316318512,0.5791918635368347,163,0.8124864101409912,0.5877162218093872,correto
164,0.8060418963432312,0.5790289044380188,160,0.8185097575187683,0.5879544019699097,correto
162,0.8077088594436646,0.5789117217063904,159,0.8226971626281738,0.5884073972702026,correto
160,0.8125027418136597,0.5786668062210083,159,0.8230759501457214,0.5885513424873352,correto
161,0.8141692280769348,0.578560471534729,158,0.8241952657699585,0.5884404182434082,correto
160,0.815951406955719,0.5784553289413452,157,0.8233128786087036,0.5882095694541931,correto
159,0.8163719177246094,0.5783901214599609,158,0.8257076144218445,0.5881221890449524,correto
159,0.8153937458992004,0.5780845284461975,158,0.8253056406974792,0.5880957841873169,correto
160,0.8147479295730591,0.5775427222251892,157,0.825509250164032,0.5880707502365112,correto
161,0.812498152256012,0.5774979591369629,158,0.8255466818809509,0.5878533124923706,correto
162,0.8110106587409973,0.5774556994438171,159,0.8239657282829285,0.5878251791000366,correto
164,0.8092029690742493,0.5772646069526672,161,0.8226513266563416,0.5878046154975891,correto
168,0.8001528978347778,0.577229917049408,162,0.8224087357521057,0.5886260867118835,correto
172,0.7804087996482849,0.5772069692611694,166,0.8105022311210632,0.5886397957801819,correto
174,0.7657236456871033,0.5771963596343994,174,0.7934437990188599,0.5883126258850098,correto
176,0.7463194727897644,0.5770613551139832,179,0.7716397643089294,0.587252140045166,correto
171,0.7345513105392456,0.5759443640708923,178,0.7566033005714417,0.5863277316093445,correto
